,germination,growth,maturity
19204,284.02395604395605,292.351391941392,281.4617765567766
19205,282.83295918367344,291.96087755102036,281.02402040816327
19206,283.50154195011345,292.27931972789116,281.1696825396825
19207,282.0796008403361,292.0770588235294,280.70197478991605
19208,284.1795918367347,292.56215743440237,281.74218658892124
19209,282.71309133489467,292.29967213114753,280.977049180328
19210,283.9521779859485,292.5619672131147,281.5340046838407
19211,282.2971031746032,291.4000992063492,279.98182539682546
19212,283.43102678571427,292.0285267857143,280.72816964285715
19213,282.33351473922903,292.3628798185941,280.4139002267574
19214,281.6482625482625,291.7542471042471,280.6439961389961
19215,284.11770935960584,292.12780788177344,281.4782758620689
19216,283.4383004926109,292.0449999999999,280.8470689655173
19217,283.4541142857144,292.3552,281.29339047619055
19218,285.1396904761905,293.03147619047616,282.7116428571428
19219,285.2567272727272,293.42722077922076,282.40550649350644
19220,282.0350612244899,292.3942448979592,280.9865714285714
19221,285.6967142857143,293.87819047619047,282.83349999999996
19222,282.3866017316017,292.24625541125545,280.5768831168831
19223,283.3020039682539,292.0624603174603,281.0035912698413
19224,282.42147186147184,291.3902380952381,280.70155844155846
19225,283.59344897959176,291.80969387755107,281.3428979591837
19226,283.01437500000003,291.59979910714287,280.87743303571426
19227,282.141597744361,292.0973872180452,280.85546992481204
19228,284.5936945812807,292.59684729064037,281.6763054187192
19229,283.78375,292.2464087301587,281.31998015873023
19230,285.79573732718904,293.720599078341,283.1279032258065
19231,282.22685714285717,292.1661714285714,280.54754285714284
19232,281.1619714285714,291.40779999999995,280.1302857142857
19233,284.6592226890756,292.99813025210085,281.87409663865554
19234,282.91045634920636,292.3529166666666,280.817757936508
19235,282.4373333333333,291.72571428571433,280.48809523809524
19236,282.63725714285727,291.28274285714286,280.5402857142857
19237,286.0492481203007,294.2171804511279,283.29146616541357
19238,283.5112585034014,292.5834353741496,281.3163605442177
19239,284.26391836734695,292.91346938775513,281.6270408163265
19240,282.33597402597405,291.95002164502165,280.8662770562771
19241,282.8038520408163,292.2813520408163,280.61727040816334
19242,285.7540677966102,293.71113801452793,282.87578692493946
19243,284.27275862068956,292.14543513957307,281.58871921182265
19244,282.4466213151927,291.1454648526077,280.44775510204084
19245,282.54002645502646,292.1633333333333,281.1013492063492
19246,282.67042328042334,292.3120105820106,280.65451499118166
19247,281.8983376623377,291.73275324675325,280.6283376623377
19248,281.7912987012988,291.6444155844156,279.7522240259741
19249,281.6798015873016,291.66994047619045,279.73327380952384
19250,280.69144132653065,291.1348724489796,278.7844642857143
19251,282.6102597402598,292.3580148423007,280.50551020408165
19252,281.30999999999995,291.0958333333333,279.0121031746031
19253,281.7248441558441,291.63454545454545,278.9813766233766
19254,281.4081168831169,291.2274025974025,278.54125000000005
19255,281.5049188311688,291.2385551948052,279.0062012987013
19256,280.9350463821892,290.85482374768094,278.2227643784787
19257,281.2910403726707,291.0960093167702,278.44043478260875
19258,280.6342135642136,290.2814862914864,278.1890331890333
19259,281.3709523809524,291.0165476190476,278.5917328042328
19260,281.1416558441558,290.6590422077922,278.45870129870127
19261,281.1948051948052,290.9713798701299,278.870211038961
19262,281.6104058441558,291.3953896103896,279.2195779220779
19263,282.1471572871573,291.98486291486296,279.2705194805194
19264,280.84964285714284,290.55654220779223,278.0513636363637
19265,280.376164021164,290.1989814814815,278.070701058201
19266,280.80415584415573,290.7587569573284,278.3595547309833
19267,282.15665995975854,292.0581287726358,280.0346076458752
19268,280.5785064935065,290.28821428571433,278.1310227272727
